3611055	4120712	2360956	1720519	7013045
9442541	4005306	5584177	9734443	9976879
4171495	8218029	9031764	21694	4137752
8143756	3544258	7769096	2950148	1549816
3796526	2506582	9474316	2446213	7113981
1937023	6113347	4429683	9044172	8499734
4282640	4890841	4587111	173965	6501410
1402233	6382672	2422566	6743525	567985
3866892	5756726	3880713	515905	2062060
2293104	8793667	176150	7021998	6775859
3807186	4634283	9412052	5179147	5362103
6548555	4172471	4748861	4656535	6298492
3757042	4412251	3429578	4979885	3335770
8325178	6508915	5178690	3886174	4074138
2242516	3249787	1064971	7626602	9306935
7429465	31576	906358	4636729	8267983
4946331	8402998	5897591	1120945	2271411
313788	7700805	2261308	6436425	8666951
6515109	2671683	3705143	6573196	2654529
6804332	2360173	1601937	7856958	1017893
3371238	5282130	3495340	3266888	2481076
2890875	3519400	7735686	1393425	9640742
1419680	339200	116638	6858104	6373923
9445185	3333866	7438987	2698582	1535661
5524212	8221258	9927222	5608693	8943310
1912801	4414638	4608651	8226069	7783357
4549687	8268111	1412188	4528633	834295
1091140	1579661	420542	2664502	9371948
8389807	8036430	3209564	2750459	3205613
2722907	7317506	8000187	1290506	3555787
4012233	4260034	207468	749382	4044902
4892669	5770906	3700785	6898509	486966
7320790	6550873	4464002	3874091	4627707
6658707	3361496	5578429	1247986	7975745
1750533	4526447	6569065	6288092	5715530
1380789	2398648	2969507	1360116	4252731
8594853	4843662	3971477	8452064	1954499
3681692	2419605	8600332	7549011	5473277
1725996	8523379	6105963	2379104	140550
3789715	3915339	3389665	8823416	2593922
2538384	5521557	156038	4825403	2064422
4032136	7282900	467177	1983904	3669860
3768225	5552055	3432698	7310936	1629268
6493763	4822215	2674745	2423534	2983299
3326085	1727347	4011926	8914454	4781062
6803590	4890644	5671665	9245458	2326023
2006417	6352202	2463286	798042	9747384
1614588	6182142	1310233	3678498	832594
8772792	1854234	2343989	9908747	9412912
7041727	3089843	309114	8878369	6022695
2195555	1984129	3960465	988645	1056077
4483055	3022015	5156582	9570419	4644793
1160599	8832281	7540043	1040367	4081825
5616133	7884076	8693714	2494661	4568005
7292226	8832144	9344445	4239695	609996
9016390	2181682	8699485	8184831	8461076
8023879	2497107	648754	1234570	3603558
8124165	2843505	61231	345545	7164609
